"Model","ServiceTag","ShipDate","WarrantyDate"
"Latitude E6410","CHG94Q1","4/1/2011","4/1/2014"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
"OptiPlex 755","1LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","2MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","5LWG7F1","12/5/2007","12/5/2011"
"OptiPlex 755","9MWG7F1","12/5/2007","12/5/2011"
"OptiPlex 760","3W3GGK1","11/26/2009","11/26/2013"
